index,dialogue_id,Q-3,Q-2,Q-1,A
1563100,MDRW2100029202.1,맞아요 면발도 납작해서 좋아요ㅎㅎㅎ 근데 전 가루는 1/3만 넣어 먹어요ㅋㅋㅋ 쪼끔 다 넣으면 느끼하더라구요ㅠ,맞아요..! 저도 그래서 땡기는날만 많이넣어용,역시 다 넣는건 무리인 것 같아요ㅜㅜ 배라 좋아하세요??,그럼요! 엄청 골고루 좋아해요
1689777,MDRW2100038314.1,굽네 말고도 맛있는데 많은데 전 bhc 좋아해요,BBQ도맛있죠 거기좋아해요,bbq 후라이드도 좋던데 어디나 후라이드는 다 좋은거 같아요,맞아요!! 배고프네요....
1881971,MDRW2100047041.1,몇만원~십만원이상 초과한다해도 예전보다는 절약하는거라,화이팅이여,응 아직 3주 하고 3일을 보내야하는구나 ㅋㅋ,영화 1987보고있는데 진ㅉ욕밖에안나온다..ㅠ
850699,MDRW2100001381.1,웅,집에가고싶오 ㅜㅜ 가도될까,어딘데오 지금 갈거니?,단ㄱ붕 응 나간다고하고가려고
1591922,MDRW2100031221.1,아잇...그 정도는 아니구 운이 좋아서 어떻게 하고 있네요,겸손하시네요ㅎㅎㅎ 자세하게는 말구 곤란하지 않으신 범위에서 어떤 일 하고 계시는지 알려주실수 있나요?,저는 교정교열이랑 한자번역 하고 있어요ㅎㅎ 교정교열 들어보셨어요??,오 들어봤어요! 엄청 어려운 일 아닌가요 저처럼 덜렁이는 상상도 못해요ㅠ ㅋㅋㅋㅋ
814371,MDRW2100001284.20,마지막에 배가 아파버려써ㅠㅠ,ㅜㅠㅠ에궁 나도 배아프다,어머머?ㅠㅠ,화장실 다녀오께
340820,HuLiC7090,그럼 너가 책 하나 추천해줘,저는 J.K.의 해리포터 시리즈를 정말 좋아합니다. 롤링이요. 그녀의 책을 읽은 적이 있나요?,다 읽어보진 않은 거 같아,"아, 정말 안됐군요. 한 번 해보세요. 당신이 가장 좋아하는 책은 무엇입니까?"
998818,MDRW2100001558.1,아직 출발안햇어,그니까 언제하냐고 출발,여섯시안되서 나갈거같어,엉 나왔다 나는 탓다 언넝와라
1138716,MDRW2100001638.1,늦어서 죄송함다 담에,근데 이거 좋당,제가 영화한편,어제 좀 깜놀함
1265012,MDRW2100008562.1,,여행좋아해요?,쉬러가는거면 좋아요ㅎ힐링여행ㅋㅋ돌아다니는거 말구요ㅋ,저도 쉬는거
782839,MDRW2100001155.119,귀에,고름흐르고굳고또파고또흐르고굳고 반복하고,손이랑 면봉을 넣지나러 넣지마라 걍,ㅇㅇ그래야한대
351949,HuLiC7348,"저는 토마토, 오이, 고추, 애호박을 재배하고 있습니다.",그 정도면 농사 짓는거 아니야?? 나도 텃밭이 있었으면 좋겠어~,많은 일이지만 보람이 있습니다. 너의 남은 시간에 뭘 하고 싶어요?,남은 시간에는 공부를 하려구 너는 뭐할꺼야?
1869767,MDRW2100047033.1,계속 늘어나니까,오늘이나 내일 얘기나올듯,재택할 수 있으면 해야지,애들을 못보내겠으니
1230154,MDRW2100006166.1,예능 클립을 주로 봐요 name1님은 예능 잘 안보시나요?,저는 라스 보고..많이는 안보네요,라스 좋아하시나요?,네 꾸준히 보는 프로네요 ㅎㅎ
1173918,MDRW2100002319.1,오 전주 좋죠! 저는 제주도 제일 좋아해요 전주에서 어떤게제일 좋으셨어요?,전주하면 아무래도 한옥마을? 먹거리나 즐길거리가 좋더라구요 제주도는 어때요? 전 제주도 가본적이없어서,제주도 너무좋죠! 바닷가도 예쁘고 최근에는 양양 다녀왓는데 너무 좋더라구요,양양? 양양에는 어떤게 있나요?
1313802,MDRW2100012023.1,네~ 초딩때 오백원주고 데려왔어요,와 그런데 닭까지 키우신거군요!!,애지중지키웠어요 썸써미님은 동물키운적 있나요?,닭은 어디로 갔나요?
725497,MDRW2100000223.25,안 그러실 이유는 없지..,환경을 생각하는사람은 냄비로 맞아야지,쌍싸다구 날려줘여지,갑자기 냅다 싸움
1464543,MDRW2100022514.1,맞아요~ 맑은 날씨 즐기고싶어요 ㅎㅎ,그러게요 요즘 미세먼지도 없어서 너무 좋은데 아쉬워요,내년 이맘때는 날씨 좋으면 마스크벗고 다닐수 있음 좋겠어요 ㅎㅎ,그러게요 마스크 벗고 바람 솔솔 부는 거리를 걷고싶어용
1489476,MDRW2100024162.1,우와 부산이나 대구 여행갈 때 가보고 싶네요,부산에서는 멀어요ㅠㅠ,그렇군요 제가 사는지역 빼고는 까막눈이라서 어쨌든 꼭 가보고 싶어요!!,ㅎㅎ네! 삼성궁은 꼭 가보셔요ㅎㅎ 진짜 신기하실꺼에요ㅋㅋ
107159,HuLiC1699,와 집근처에 해변이 있나보네. 너무 부럽다,어디에 사세요? 전 세계에는 해변이 있습니다. 저는 플로리다에 살아요.,오 플로리다면 온 천지가 바닷가 겠구나 부럽다 난 한국 서울에 살아,"저는 한국에 가본 적은 없지만, 항상 가고 싶었어요. 거기가 마음에 드시나요?"
1562979,MDRW2100029194.1,저도 버거킹이요 ㅋㅋ 버거킹 최애메뉴 뭔가요,저 몬스타x인가 이거 새우랑고기두개다들어간거요 ㅎㅎ 님은요,콰트로치즈버거요 ㅎㅎ 데자와 밀크티 아세요?,네네 알져 캔밀크티
1416088,MDRW2100019134.1,저는 강아지상 좋아해요 ㅋㅋㅋ,오저랑 반대네요 저는 고양이상이요 ㅋㅋㅋ,오 고양이상 !,넵 여자든 남자든 냥상이 이쁘더라고요 ㅋㅋㅋ
1050873,MDRW2100001593.1,그치 ? 신기한건,괜찮지 않을까,말해도 되겟지 ? 친구한테 친구니까 ...,ㅋㅋㅌㅌㅋㅋ 사진만 찍지..않고
1887612,MDRW2100047045.1,방탄도 안다,트와이스 아이오아이 빼고,우아 베복 핑클 ses 스페이스a,요즘 그룹으로 구석기 시대 사람이다 우아는 뭐야 우아우아우아아 자니
274652,HuLiC5564,도배라도 새로 하고 싶은데 셀프 도배 해본 적 있어?,"제가 직접 해본 적은 없지만, 언젠가 꼭 해보고 싶습니다. 정말 재미있을 것 같아요.",재밌을거 같긴한데 잘 못해서 울퉁불퉁할까봐 걱정이야,난 네가 괜찮을 것이라 확신해요. 당신이 생각하는 것만큼 무섭지 않아요.
668651,MDRW2100000083.80,동생아 신기하다 정말,뭐가 신기해?,약 말이지 엄청나네,밥맛이 뚝 떨어졌어?
1520690,MDRW2100026302.1,안녕하세요,안녕하세요~ 저녁은 뭐드셨나요????,저는 비냉먹었어요 name2님은 뭐 드셨나요?,저는 곱창볶음 먹었어요!
1288424,MDRW2100010163.1,ㅋㅋ 치킨보다 피자파인데 고기는 무슨고기 좋아하세요 저는 닭보다는 돼지고기요,저도요~돼지고기를 제일 좋아해요~,ㅋㅋ그쳐 돼지고기가 젤맛있는거같아요 저는 돼지껍데기도 좋아해요,아~돼지껍데기는 안 먹어봤는데..맛있나요?
290055,HuLiC592,아직 찾지 못했어 찾아보려고 노력중이야,어떡해! 빨리 찾았으면 좋겠어요. 당신은 재미로 무엇을 하는 것을 좋아하나요?,딱히 흥미있는게 없네 너는 어떤걸 하면서 시간을 보내고있니??,저는 비디오 게임과 영화 보는 것을 좋아합니다. 저도 책 읽는 걸 좋아해요. 당신은요?
1855096,MDRW2100047023.1,비싸 보이더라,자전거가?,응,맞아 실제로 비싸
409545,HuLiC8678,ㅇㅋ 일단 마녀 배달부 키키 보고 올께!,그래 추억여행 떠나라 ㅋㅋ,오랜만~~ 요즘 영화 뭐 없냐??,요즘 영화는 모르겠는데
1075956,MDRW2100001603.1,못무른다노,ㄹㅇ? 그럼,지네 인건비랑,만원어치만
1889363,MDRW2100047047.1,아 어제 자기가 알려준거? midbrain이랑 같은거야?,찾아보니까 diencephalon이 시상이 있는 윗쪽이고 중간뇌는 midencephalon이라고 해부학적으로 달라,아하 근데 그럼 이거는 중간뇌니까 midencephalon?,저기는 중간뇌 아니야 mamillary body 밑에부터
665821,MDRW2100000075.14,자기 집옆에 그 문구점도 가기 귀찮? 돼지국밥집,울집옆? 어디말하는고징,그 전담파는곳 옆에!,address??
392455,HuLiC8282,응 아까 보니까 있더라 ㅎ,오오 그럼 넷플로 봐야지 ㅎㅎ,ㅋㅋㅋ재밌게 봐 ㅎ,웅 추천해줘서 고마워 ㅋㅋㅋ
446786,altergo_a.197,,이번 주말 모임에 영희는 나올 수 있대?,아직 확인 못 해봤는데.,내가 오늘 8시에 전화할게.
277610,HuLiC5632,한국은 농업보다 다른 산업을 키우느라고 농업이 많이 발달하지 못 했거든. 국산보다 수입산 농산물이 더 많아.,당신이 가장 좋아하는 음식의 종류는 무엇입니까?,채소나 과일을 좋아하는데 요즘 가격이 너무 올라서 못 사먹겠어.,좋아하는 야채나 과일이 있나요?
439903,HuLiC9378,근데 너 안봤으면 봐줄 수 있어,ㅋㅋ오 진짜? 오예 낼 울집와,몇시에 갈까?,1시 이후로 아무때나 ㅎ
9806,﻿Chat11930,,,내 인생은 한편에 영화 같아.,얼마나 파란만장 하길래 그래?
398284,HuLiC8417,진경 ! 뭐해?,나 저녁 먹고 쉬는중 ~,ㅋㅋㅋ오늘 뭐했어?,오늘 엄마랑 장보고 왔어 ㅎ
1924000,MDRW2100047076.1,자기 계좌개설 언제했지?,4월,ㅇㅇ 몇일?>,17일 20일은 넘었어
234764,HuLiC4643,마블 영화 중에 좋아하는 장면이 있나요? 저는 아이언맨과 스파이더맨이 남북전쟁에서 싸울 때입니다.,나는 타노스 나왔을때가 제일 재밌었어ㅋㅋ,정말 멋진 장면이었어요. 어떤 점이 좋았나요?,액션과 연출이 좋았던 것 같아!
1880169,MDRW2100047039.1,목소리보다도 스킬이라해야하나ㅠ,데이식스 원필도 목소리 좋아한단말임 원필이는 더보이즈 껴줬어도 돼,ㅠㅠ원필이 키 몇이냐,근데 둘이 목소리 진짜 비슷해 원필이 키작아..
1345211,MDRW2100014189.1,네 그때 추억과 인맥으로 그 다음을 사는건데~~ 얼른 코로나 사라져라ㅡ,그러게요ㅎㅎ 보면 참 학교다니는 시간이 긴것도 아닌데 그시간 이렇게 흘러보내는게 아쉽네요ㅜ,네~~ 수업도 자율적으로 하는게 능률이 오를까 싶기도 하고,사실 앉아있는 습관도 중요한건데 말이에요ㅋㅋ
138359,HuLiC2418,너는 바다가 왜 좋아?,"저는 수영, 스노클링, 그리고 다른 활동들과 같이 할 수 있는 것들이 매우 많다는 사실이 좋습니다.",그렇구나 너는 되게 활동적인 스포츠를 좋아하네,"네, 있습니다. 저는 올림픽 보는 것을 좋아합니다. 당신은요?"
1377941,MDRW2100016423.1,나..방콕가서 안마받고싶어 풍팟퐁커리먹을래,방콕가서 코끼리타야지 마사지도 받고 앙코르와트도 가보고싶고 잉카 마야문명도 가보고싶어,코키리 안좋아 키우는 환경이 학대해서 키운대 ㅜㅜ,그럼 낙타
787332,﻿MDRW2100001157.52,,,문자도하고 인스타도 했단말인거지?,응근데너는 인스타비공이라서 해도안될듯ㅋ
184929,HuLiC3493,특히 프랑스 와인을 사랑해. 넌 어느나랑 와인을 좋아해?,"저는 프랑스산 와인을 좋아하지만, 마셔야 할 만큼 마시지는 않아요.",마자 무엇이든 적당히가 좋지.,"네, 맞아요. 인생의 모든 면에서 성공의 열쇠는 절제입니다."
16379,﻿Chat13171,,,정치는 어려울까?,하기 나름이겠지.
1857656,MDRW2100047025.1,그니까 에효,그런걸 많이주ㅏ야재 아니근데 하인리가 나비에를 퀸이라고 부르는이유도있음?,걍 애칭이지 뭐 능글남캐란 그런법 능글조신남,ㅋㅋㅋㅋㅋㅋㅋ̆̎ 개웃겨
185736,HuLiC3511,그 음식의 이름이 궁금하다. 니가 개발한 음식이야?,"확실하지는 않지만, 세계 많은 지역에서 주식이란 것은 알고 있습니다.",넌 그럼 치킨을 좋아하는거야?,닭고기는 세계에서 가장 인기 있는 고기 중 하나여서 좋아하는 것 같아요.
153552,HuLiC277,그 말을 들으니 유감이네요. 당신에게 잘 되길 바랍니다.,난 왜 이렇게 남자보는 눈이 없을까?,"글쎄요, 당신이 여자라서 그런가 보죠? 잘 모르겠어요.",어떻게 하면 좋은 사람을 만날 수 있어?
1740578,MDRW2100042022.1,맛잇겟당,거기 바닐라러떼도 맛나대 연산 이마트 뒤인데 담에 같이 가자,오오오오,우리 밀면도 먹었는데 그 근처에서
45285,Chat4359,맛있게 잘 먹었니?,응 우리 어머니 요리솜씨가 일품이라고.,우와 대단하신데.,응 정말 잘하셔.
1201007,MDRW2100004226.1,맞아요 맞아요 박물관인가??그런곳에 보관을!한다는 인터뷰 본 것 같아요,이번에 올림픽 보면서 괜히 저도 운동하고 싶어지더라구요 ㅋㅋㅋ 마음은 일단..ㅎ,저도 마음만... 클라이밍 경기도 보면서 우와 하고 하고싶다!라고 생각만...,ㅋㅋㅋ그래도 미디어가 좋은 영향을 준거 같아요!! 아직 실천까진 안됐지만 ..ㅎ
196271,HuLiC3755,당신이 공원에서 가장 좋아하는 일은 무엇입니까?,음악들으면서 걷는걸 좋아해,당신은 걸으면서 어떤 종류의 음악을 듣나요?,그때 그때 다르지 요샌 발라드를 들어'
1888784,MDRW2100047046.1,오늘은,상 준다고 했다가,이시간에,일케 진지해지면
1116644,MDRW2100001630.1,"아아 ㅠㅠ 진짜 무서웟어요 ,, 언니 전 오늘 병원가용 ㅋㅋㅋ",오~좋다좋다ㅋㅋㅋ듀근듀근~얼마나 컸을라낭ㅋㅋㅋ,크크 name17쌤한테 봤는데 설명 되게 잘해주시네요ㅜㅜ 꼬추같죠!!!!!!! 크다!!!!!!!!! 대빵만한데!!!!!!!,와웅ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1700151,MDRW2100039085.1,와 채석강이면 배타고 들어가신 걸까요? 네 태백 추천드려요 ㅋㅋㅋ 다른 곳 보다 벚꽃이 늦게 져서 4월 중순에 가서 벚꽃 실컷 보고왔어요 ㅋㅋㅋ,아항 아뇨 그냥 걸어서봣어요 ㅋㅋㅋ 오 ...조아용 또볼만한데잇나용,오 뭍에서 바로 보이는군요 좋네요,넹넹 ㅋㅋ 멋지던데용
1545909,MDRW2100028020.1,앗 저도 아이돌 콘서트는 못가봐서 가보고 싶어요 옛날? 사람이라?ㅋㅋ저는 샤이니 콘서트 가고 싶더라구요,샤이니 좋죠 그동안 쌓아놓은 명곡이 워낙에 많아서,맞아요ㅠㅠ 언젠가 가보고 싶어요,어떤 노래 제일 좋아하세요?
1591025,MDRW2100031157.1,나중에 알아두세여 언젠가 쓸수두 있으니! 맞아요 생각해낸사람 좀 천재..ㅋㅋㅋ 되게많이 사기꾼 잡았대요 사기 피해도 예방하고 이런데 전화번호 등록되면 T전화나 다른전화어플에 사기꾼이랴구ㅋㅋㅋ 뜬다네요ㅋㅋㅋ,아 그렇군요 많은걸 알려주셔서 감사해요 어떤 물건들을 거래하시나요?,새거 많이해요 약간 책같은거 샀는데 안쓰거나 그런거 많아가지고요ㅋㅋㅋㅠ 제가 사기도하구요,아 그러시구나 저는 이사갈때 가전제품 팔아봤어요 당근에서
256757,HuLiC5150,회계사라는 직업은 너의 적성에 잘 맞는 것 같니?,저한테 잘 맞는 것 같아요. 당신은 그것이 나에게 좋은 직업이라고 생각하나요?,여럿보다는 혼자서 조용히 집중하는 일을 좋아한다면 잘 맞지. 넌 주로 혼자 일하니?,"아니요, 저는 혼자 일하지 않아요. 파트너가 있어요"
267142,HuLiC5390,Call of duty는 비디오 게임입니다. 언제 한번 해보세요.,알았어 나중에 꼭 해볼게ㅋㅋ,마음에 들면 좋겠어요. 당신은 다른 비디오 게임을 좋아하나요? 저는 콜 오브 듀티(call of duty.,나는 마인크래프트를 재밌게 했어.
1916947,MDRW2100047069.1,ㅇㅇ,name4부장한테 전화 걸어서 물어봤더니,name3차장이,배관팀 name6과장님 승진했어 나랑 같이 헝가리가 가고 중고딩 선배
1670594,MDRW2100036873.1,그렇군요 만원 내외로 사야 가장 이득인것 같더라구요? ㅋ,"네. 3천원인 최대 할인가라.. ㅎ 곧 쿠폰이 나올 시간이네요. 지마컿 지마켓, 옥션에서 곧 빅스마일데이 한다고 하네요.ㅎ",스마일캐시 전환 수수료가 생겨서 오픈마켓 이용하는 메리트가 떨어진듯요 ㅍ,네.. 예전에 컬처랜드상품권 충전 많이 될때가 좋았는데요 이따 지구에서 구입하시게 되면 쇼핑 품목 공유해주세요.
109018,HuLiC1741,좋은 생각이에요. 당신의 친구가 당신을 기꺼이 도와줄 거예요.,내가 쓰는 통신사는 할인 혜택이 없어서 너무 싫어,안됐군요. 아마도 당신은 더 좋은 가격의 다른 여행사를 찾을 수 있을 것입니다.,요즘 세탁기도 제대로 안 돌아가서 바꿀까 고민중이야
321534,HuLiC6646,나는 심리상담가로 일하고 있어. 너는 어떤 일을 하니?,그것은 매우 보람 있는 일처럼 들리네요. 저는 회계사로 일하고 있습니다.,회계사라는 직업은 너의 적성에 잘 맞는 것 같니?,저한테 잘 맞는 것 같아요. 당신은 그것이 나에게 좋은 직업이라고 생각하나요?
1901921,MDRW2100047055.1,흠 미리 가서 줄서있거나 예약할까? 한시간걸린다고 나오는데,엇 생각보다 일찍 오네,점심에 복잡하면,나 시간은 자율이라 암때나 나가서 한시간 먹고 오면 돼
1324799,MDRW2100012796.1,헤이즈 노래도 들어야겠네요,음악이 주는 힘이있어요ㅎㅎ 전지금 심심이한다고 싄나는 음악을ㅎㅎㅎ 브레이브걸스 롤린듣고있네요ㅎㅎ,오홍 뭐들어요 ㅎㅎ 앗 롤린 좋죵~~ 요즘 똥밟았네 인가,노래 예전에도 듣는거 좋아했는데ㅎㄹ 아ㅎㅎ 그것도나왔어요?ㅎㅎ
1027716,MDRW2100001583.1,버릇없는건 아네 ㅋㅋ,아 몰라 이사그냥 짜증내는 소리도 다 싫고 그냥 말해도 다 싫어 오늘 점심은 샌드위치~,월요일은 어김없네 ㅋ,ㅋㅋㅋ 자긴 점심 우짜노?
231384,HuLiC4565,우리 같이 캠핑 가야지 !,정말 재미있을 것 같네요. 캠핑 안 한 지 오래됐어요. 당신은 어떤 종류의 캠핑을 하시나요?,넌 어떤 종류의 캠핑을 해봤어?,저는 가족들과 숲에서 캠핑하는 것을 좋아합니다. 호수에 오두막이 있어요
984037,MDRW2100001549.1,전화했음 케이블 세제2개가 3500원이야?,ㅇㅇ,4개사던지,3리터 2개 아냐 더많이산다고 싸지지않음 산거 다쓰고 사
668725,MDRW2100000083.9,하다보면 빠질려나 의문이다,식단 조절은 하고 있아?,식단조절??어떤식으로 하는거야,좀 줄이고 탄수화물 줄이고 뭐 그런거
1498931,MDRW2100024782.1,아직 애기라서 ㅎㅎ멍충미를 자랑해요 제가보기엔ㅋㅋ똥개에 가까워요ㅋㅋㅋ귀엽,귀여워요 안봐도 귀엽고 못봐서 아쉬울뿐이에요ㅜㅠㅜ,생각보다 산책도 많이시켜야해서 제 삶이 변화된 기분이예요ㅋㅋ 긍정적인쪽으로요^^,좋아요ㅋㅋㅋ 산책하는 강지들보면 보기만해도 힐링돼요
1751650,MDRW2100042828.1,어 들어본거같아요,지방분해 효과있다는데,효과있나요? 구매만 하신 상태셔요?,아뇨 안가봤는데 다이어트 된다해서 관심만요
394800,HuLiC8337,엉엉 ㅜㅜ 넷플에 왜 없나 몰라,나도 결제해서 봐야겠다,웅 지금 보게?,응응 보고 올게 ㅎㅎ
1678248,MDRW2100037448.1,오! 마라탕이랑 다른거죠??!,마라탕이랑 비슷해요! 다만 제가 익혀서 건더기만 건져 먹어요 ㅋㅋ,아항~ 안먹어본거라 궁금하네요ㅋㅋ,처음 시작은 무한리필집으로 해보세요 맘대로 골라먹을 수 있어서 좋아요
1306666,MDRW2100011489.1,전 짜파게티먹었답니다ㅋㅋ 고기좋죠 삼겹 vs 목살?,전 기름이 좀 더 적은 목살이 좋아요,저랑반대시네요 저는 삼겹파입니다,삽겹살은 볶음밥 같은 거 해먹을때 넣으면 맛있어요ㅎㅎ
297270,HuLiC6086,요즘은 주말마다 힐링을 하고 있지. 그럼 넌 뉴욕에서 아파트에 살아? 단독주택에 살아?,저는 뉴욕 교외에 살고 있습니다. 저는 돈이 많지 않아서 맨하탄에 살 여유가 없어요.,"맨하탄보다 교외가 조용하고 좋을 거 같은데, 좋은 점도 많지 않을까?","네, 있을 거예요. 제가 그걸 살 여유가 있을지 모르겠어요."
1169303,MDRW2100002027.1,배터질 정도로 먹었다,굿굿 ㅎㅎ 내일도 먹자,엄마도 먹었냐?,아니 ㅠㅠ 엄마 안먹음
1527722,MDRW2100026776.1,치과추천이면더믿고사지ㅋ,응ㅋㅋㅋ한개칠천원ㅋㅋ,대박ㅋㅋ비싸닺ㅋㅋ 효과는있어?,몰라ㅋ아빠가쓰심ㅋㅋ 나는저렴이사서써ㅋㅋ
1801361,MDRW2100046475.1,그렇군요 ㅎㅎ name1님은 취미가 어떻게 되시나요~?,아 취미는 유튜브 보는거나 게임입니다 name2님은요?,앗 저도 유튜브보는 것도 좋아하고 게임도 좋아해요 ㅎㅎ 유튜브는 주로 어떤 거 보세요..?ㅎㅎㅎ,엇 ㅋㅋ 랑그릿사라는 게임을 하기에 관련 유튜브도 보고 주식투자를 하는중이라 요즘은 주식방송 많이 봅니다
1518120,MDRW2100026117.1,로봇청소기카페에서는 효녀라불린대ㅋㄱㅋ,삶이윤택해지는구매구만ㅋㅋㅋㄱㄱㅋ,ㅋㅋㅋ청소기자랑부탁ㅋ,청소기도베이지ㅋㅋ 누가보면 베이지성애 자인줄ㅋㅋㅋ
112780,HuLiC1828,언젠가 당신을 위해 요리해 주고 싶어요! 저도 요리하는 걸 좋아해요.,날 위해 요리해준다니 너무 기대되는데?? 다른 사람이 해준 음식을 먹어본지 너무 오래되었어. 음식점음식 말고~,그거 멋진데요! 요리하는 것도 좋아해요. 당신이 가장 좋아하는 요리는 무엇입니까?,만약 다른 사람이 해준다면... 음... 갑자기 물어보니까 생각이 안나네~
1380305,MDRW2100016587.1,배달음식 최대의 단점이죠ㅋㅋ 뭐 자주 시키세요?,한식 패스트푸드 디저트류 회 등등 종류안가려욬ㅋㅋ,집에서 해 드시기 보다는 주로 배달해서 드시나봐요 배달앱은 어디꺼 쓰세요?,주방이 좁아서 잘 안쓰게돼요 배달의민족이요! 이게제일 많더라고요 가게가
1576454,﻿MDRW2100030150.1,,,이브 정말 추천드려요 명작 쯔꾸르라고 하는 이유가 있는게임..,오~~~~ 사실 궁금하긴 했어
1744629,MDRW2100042323.1,국내요,아 국내는 강원도 전라도 쪽 자주 다녔어요,어 저도 전주랑 강릉 가봤어요,전주 강릉 다 좋죠~
1759760,MDRW2100043413.1,넹 먹었어여!,뭐 드셨나요!!,저 택배주문시킨 닭갈비 해 먹었어요!,오오 그럼 밀키트같이 되어있는 거였나요?
1320564,MDRW2100012516.1,컵라면 뿐만 아니라 누룽지컵도 가져가서 뜨거운물 부어먹으면 고소고소 속이 따뜻하고 든든해요 ㅋㅋ,누룽지컵 꼭 챙겨야겠다 아침먹는게 좀 매번 걸렸는데 누룽지먹음 진짜 좋을 것 같아요,앞으로 여행가실때 누룽지컵 꼭 챙기세여 ㅋㅋㅋ 라면이 은근히 식사로 먹기엔 부족하거든요~~,네 ㅋㅋㅋ 컵라면이랑 같이 세트로 아 작은컵.. 그러네요 전 왜 큰컵만 생각했죠? ㅠㅠ 그리고 라면에 삼김도 챙겨먹으니까 라면이 부족하단 생각은 못했는데
367789,HuLiC7713,영화 둘다 좋아했는데 꿀팁,나는 하면안될짓을 해본적이 있어,좌석 중간뒤쪽사이드에 앉는게 좋지 그게뭐야...,발다친적 있어서
1090063,MDRW2100001613.1,ㅃㄹ,모르겟어 .. 언니가 기여운걸로 정해주라 진짜,아;;;,좀따 닥터후 끝나면 정해아
1252178,MDRW2100007653.1,맞아요... 저는 그래서 매장에서는 빠르게 보기만 하고 구매는 집에서 한답니다,그런 분들 많은 것 같아요 온라인 매장이 더 싼 경우도 많고요!,맞아요! 최근에는 반바지를 샀는데 딱 맞고 좋더라구여,입어보고 사야 시행착오가 없는 걸 아는데...ㅠㅠ 비슷한 스타일의 여러 브랜드를 늘어놓고 왔다갔다하며 비교하기는 온라인이 더 편해서 온라인에서 옷을 사게 돼요 저도 제가 좋아하는 브랜드가 딱 생겼으면 좋겠어요..
114844,HuLiC1876,난 지금 유튜버로 활동중이야.,정말 멋지네요. 당신은 어떤 종류의 비디오를 만드나요? 저는 작가입니다.,주로 여행과 관련된 영상을 올리고 있어. 넌 작가였구나. 멋있어,저는 여행을 좋아해요! 당신이 지금까지 여행한 곳 중 가장 좋아하는 곳은 어디입니까?
802986,﻿MDRW2100001228.14,,,뭔가,ㅋ특판은 나옴?
1802989,MDRW2100046597.1,더운데요 요즘가기에 딱 좋습니다,오 그렇군요! 어제 가본 글램핑은 몇번째 글램핑이였나요?,150번째요,글램핑 많이 가보셨군요! 제주도말고 서울 근교에 추천할만한 곳은 없나요?
1866321,MDRW2100047029.1,죻은생각 11시에 회의하러감,무슨회의,생산회의,생산회의인데 님이 왜가 생산만 하면 되제
1636450,MDRW2100034288.1,역시 이디야! 가성비최고죠,개인카페가 너무 비싸서 눈치도 안봐도 되는 체인점 자주 다녀서 이디야 애용해요ㅎㅎ,맞아요~ 체인점이 확실히 편해요 개인카페는 뭔가 맘놓고오랫동안못있겠어서 ㅜ,그렇다고 음료 계속시키자니 배부르고ㅜ
1288561,MDRW2100010171.1,한국근대소설은진짜못봐주겠더라 시도그렇고 그런걸왜교과서에넣는지모르겠음,아 맞아 진짜 뭔 의미가 있는지 모르겠고,ㅇㅇㅇ운수좋은날도그냥 가정폭력범내용이잖아,맞아 나 구거 처음 보고 충격받았잖아 아내가 아픈데 왜 때려
891829,MDRW2100001500.1,여섯시 퇴근이잖아 본점임?,지점이여 name4는 아침에하고 한시에 나갓어 name14피해서 여기에서 함,name15은 뭐하던 뭐라던,암말도 안해
1174914,MDRW2100002382.1,최근에 구매한 물건 있나요?,저 엊그제 정원샵에서 왕창샀어요ㅎ 오늘 40프로인가 쿠폰주던데 함둘러보세요,아 정원e샵 이용한 적 있어요. 통신사 할인 40% 쿠폰 있어서 간장이랑 식용유 케챱 같은거 샀어요.,카톡 플친함 40프로주더라구요 사실거있음함 둘러보세요ㅎ 페이코 쓰시나요? 거기서 중복쿠폰10프로되거든요 카드는 12프로였나
1401297,﻿MDRW2100018090.1,,,여행 자주 다니시나요?,코로나때문에 못간지 오래된것같아요ㅠㅠㅠ
1342302,MDRW2100013995.1,아 닭을..?,쥐똥만한 눈과,어쩌다가요,부리 아 쓰읍..썰 풀어도 되나요
216188,HuLiC4214,저는 사람들과 대화하는 것을 좋아하지 않습니다.,해야할 말도 안하고 계속 혼자 그러고 있으면 더 우울해져,난 그게 사실이라고 생각 안 해요.,요즘 무슨 고민 있어? 왜 이렇게 우울할까?
1701711,MDRW2100039204.1,재미있으면댓죠머!,재밋으려고 가는여행!,맞아요 맞아요!!!!! 여행가면 주로 머하나요??,저는 등산가고 미술관가고 그래요!
958596,MDRW2100001537.1,날씨가 추우니 ㅋㅋ 마감 슬슬해용 ㅎㅎ,웅웅 이제준비해야징ㅎㅎ 마감했어용ㅎㅎ,넹 ㅎㅎ 주차장 가는중?,차를미리가져다놨엉ㅎㅎ
1172499,MDRW2100002251.1,저는 점심에 보통 구내식당에서먹어서 메뉴가 정해져있지는 않지만 보통 일반식이에요ㅎ 한식이라고하면 맞겠네요ㅎ,그럼 저녁은 보통 어떻게 드시나요?,"요즘코로나라 저녁은 집에와서 많이먹게되는대 배달음식을 많이 먹는것같아요ㅎ 보통 족발, 생선구이, 떡볶이 등등 많이먹네요ㅎㅎ 그럼 배달음식중에 가장 최애는 뭐에요?",지금은 숯불양념치킨이요. 치밥 하기 좋더라구요.
